Usia :,Apakah anda kesulitan dalam berkomunikasi dengan orang lain yang berbeda negara?,Seberapa sering Anda menggunakan aplikasi untuk menerjemahkan bahasa?,Seberapa familiar Anda dengan bahasa inggris?,Seberapa familiar Anda dengan bahasa Jepang?,"Seberapa penting menurut Anda jika suatu aplikasi penerjemah dapat menerjemahkan bahasa hanya tiga bahasa saja (jepang, inggris, dan indonesia)?",Seberapa penting menurut anda aplikasi yang dapat menerjemahkan suatu bahasa dari suara dengan voice recognition?,Seberapa penting menurut anda aplikasi yang dapat menerjemahkan suatu bahasa dari foto?,Apakah Anda pernah merasa kesulitan saat menggunakan aplikasi penerjemah?,Faktor apa yang membuat anda merasa kesulitan saat menggunakan aplikasi penerjemah? (Bisa memilih lebih dari satu),"Apakah Anda membutuhkan aplikasi penerjemah yang dapat menerjemahkan tiga bahasa yaitu bahasa Jepang, Inggris, dan Indonesia?","Apakah Anda membutuhkan aplikasi penerjemah yang dapat menerjemahkan dalam berbagai bentuk, seperti teks tulisan, suara, percakapan langsung, dan scan foto?",Apakah Anda mengharapkan akurasi yang tinggi dalam penerjemahan bahasa pada aplikasi penerjemah?,Apakah Anda mengharapkan aplikasi penerjemah memiliki fitur yang dapat memperbaiki kesalahan dalam penerjemahan?,Apakah Anda menginginkan aplikasi penerjemah memiliki antarmuka yang mudah digunakan?,Apakah Anda bersedia membayar untuk menggunakan aplikasi penerjemah dengan fitur-fitur lengkap dan akurasi yang tinggi?,"Apakah Anda membutuhkan aplikasi penerjemah yang dapat menerjemahkan tiga bahasa yaitu bahasa Jepang, Inggris, dan Indonesia?","Apakah Anda membutuhkan aplikasi penerjemah yang dapat menerjemahkan dalam berbagai bentuk, seperti teks tulisan, suara, percakapan langsung, dan scan foto?",Apakah Anda mengharapkan akurasi yang tinggi dalam penerjemahan bahasa pada aplikasi penerjemah?,Apakah Anda mengharapkan aplikasi penerjemah memiliki fitur yang dapat memperbaiki kesalahan dalam penerjemahan?,Apakah Anda menginginkan aplikasi penerjemah memiliki antarmuka yang mudah digunakan?,Apakah Anda bersedia membayar untuk menggunakan aplikasi penerjemah dengan fitur-fitur lengkap dan akurasi yang tinggi?
20,Sangat Sulit,Jarang sekali,Biasa saja,Tidak familiar,Normal,Penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
20,Mudah,Jarang sekali,Familiar,Familiar,Penting,Penting,Penting,Ya,"Lambat dalam melakukan penerjemahan, Tidak ada dukungan untuk bahasa tertentu",Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
20,Biasa saja,Beberapa kali dalam seminggu,Biasa saja,Tidak familiar,Normal,Sangat penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
20,Suilt,Beberapa kali dalam sebulan,Familiar,Biasa saja,Sangat penting,Sangat penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
20,Sangat mudah,Belum pernah menggunakan,Sangat familiar,Sangat familiar,Sangat penting,Sangat penting,Sangat penting,Ya,Tidak akurat dalam menerjemahkan,Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
20,Sangat mudah,Jarang sekali,Sangat familiar,Sangat tidak familiar,Penting,Penting,Normal,Tidak,,,,,,,,Tidak,Tidak,Ya,Ya,Ya,Tidak
21,Biasa saja,Beberapa kali dalam sebulan,Familiar,Biasa saja,Normal,Penting,Penting,Ya,Tidak akurat dalam menerjemahkan,Tidak,Ya,Ya,Ya,Ya,Ya,,,,,,
20,Mudah,Beberapa kali dalam sebulan,Sangat familiar,Tidak familiar,Sangat tidak penting,Penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
20,Suilt,Setiap hari,Sangat tidak familiar,Sangat tidak familiar,Sangat tidak penting,Sangat tidak penting,Sangat tidak penting,Ya,Tidak ada dukungan untuk bahasa tertentu,Ya,Ya,Ya,Tidak,Tidak,Tidak,,,,,,
20,Sangat Sulit,Setiap hari,Tidak familiar,Sangat tidak familiar,Penting,Sangat penting,Penting,Ya,Tidak akurat dalam menerjemahkan,Ya,Ya,Ya,Ya,Ya,Tidak,,,,,,
20,Suilt,Beberapa kali dalam sebulan,Familiar,Familiar,Penting,Sangat penting,Sangat penting,Ya,"Tidak akurat dalam menerjemahkan, Fitur-fitur yang kurang lengkap",Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
19,Suilt,Setiap hari,Familiar,Tidak familiar,Penting,Sangat penting,Sangat penting,Ya,Fitur-fitur yang kurang lengkap,Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
20,Suilt,Setiap hari,Familiar,Tidak familiar,Sangat penting,Sangat penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
20,Biasa saja,Setiap hari,Sangat familiar,Familiar,Sangat penting,Penting,Sangat penting,Ya,"Tidak akurat dalam menerjemahkan, Fitur-fitur yang kurang lengkap",Ya,Ya,Ya,Ya,Tidak,Tidak,,,,,,
19,Suilt,Beberapa kali dalam seminggu,Sangat familiar,Biasa saja,Penting,Sangat penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Tidak
21,Biasa saja,Jarang sekali,Sangat familiar,Biasa saja,Normal,Penting,Penting,Ya,Tidak akurat dalam menerjemahkan,Tidak,Ya,Ya,Ya,Ya,Ya,,,,,,
19,Biasa saja,Jarang sekali,Sangat familiar,Familiar,Normal,Tidak penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Tidak
19,Biasa saja,Beberapa kali dalam seminggu,Sangat familiar,Familiar,Penting,Penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
19,Suilt,Beberapa kali dalam seminggu,Familiar,Tidak familiar,Normal,Sangat penting,Sangat penting,Ya,"Tidak akurat dalam menerjemahkan, Lambat dalam melakukan penerjemahan, Tidak ada dukungan untuk bahasa tertentu, Fitur-fitur yang kurang lengkap",Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
19,Suilt,Setiap hari,Familiar,Sangat tidak familiar,Penting,Sangat penting,Penting,Ya,Tidak akurat dalam menerjemahkan,Ya,Ya,Ya,Ya,Tidak,Ya,,,,,,
23,Suilt,Beberapa kali dalam seminggu,Familiar,Familiar,Normal,Penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
18,Suilt,Beberapa kali dalam seminggu,Familiar,Familiar,Normal,Sangat penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Tidak
20,Suilt,Beberapa kali dalam seminggu,Biasa saja,Sangat tidak familiar,Normal,Penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Tidak,Ya
20,Biasa saja,Beberapa kali dalam sebulan,Familiar,Tidak familiar,Sangat penting,Sangat penting,Sangat penting,Ya,"Tidak akurat dalam menerjemahkan, Lambat dalam melakukan penerjemahan",Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
13,Biasa saja,Beberapa kali dalam sebulan,Biasa saja,Sangat tidak familiar,Normal,Penting,Normal,Tidak,,,,,,,,Ya,Ya,Tidak,Tidak,Ya,Tidak
14,Sangat Sulit,Beberapa kali dalam seminggu,Biasa saja,Biasa saja,Penting,Sangat penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Tidak
12,Suilt,Beberapa kali dalam sebulan,Biasa saja,Tidak familiar,Normal,Penting,Normal,Ya,Tidak ada dukungan untuk bahasa tertentu,Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
12,Biasa saja,Jarang sekali,Familiar,Sangat tidak familiar,Normal,Normal,Penting,Tidak,,,,,,,,Ya,Tidak,Ya,Ya,Ya,Tidak
13,Suilt,Jarang sekali,Familiar,Tidak familiar,Penting,Penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Tidak,Tidak
14,Biasa saja,Beberapa kali dalam sebulan,Tidak familiar,Familiar,Normal,Penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Tidak
13,Suilt,Setiap hari,Familiar,Biasa saja,Penting,Sangat penting,Penting,Ya,Tidak mudah digunakan,Ya,Ya,Ya,Ya,Ya,Tidak,,,,,,
13,Suilt,Jarang sekali,Familiar,Biasa saja,Penting,Tidak penting,Normal,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Tidak,Tidak
13,Mudah,Jarang sekali,Sangat familiar,Tidak familiar,Normal,Penting,Penting,Tidak,,,,,,,,Tidak,Ya,Ya,Ya,Ya,Tidak
13,Biasa saja,Beberapa kali dalam seminggu,Familiar,Biasa saja,Normal,Normal,Normal,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Tidak,Tidak
13,Biasa saja,Beberapa kali dalam sebulan,Sangat familiar,Sangat familiar,Penting,Normal,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Tidak
21,Mudah,Jarang sekali,Sangat familiar,Familiar,Penting,Sangat penting,Sangat penting,Tidak,,,,,,,,Tidak,Ya,Ya,Ya,Ya,Ya
13,Biasa saja,Jarang sekali,Sangat familiar,Tidak familiar,Penting,Normal,Penting,Ya,Tidak akurat dalam menerjemahkan,Ya,Ya,Ya,Ya,Ya,Tidak,,,,,,
13,Biasa saja,Beberapa kali dalam seminggu,Familiar,Tidak familiar,Normal,Sangat penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Tidak
18,Suilt,Beberapa kali dalam seminggu,Sangat familiar,Familiar,Penting,Penting,Penting,Ya,Tidak akurat dalam menerjemahkan,Ya,Ya,Ya,Ya,Ya,Tidak,,,,,,
13,Sangat Sulit,Belum pernah menggunakan,Familiar,Familiar,Penting,Normal,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Tidak,Tidak
20,Biasa saja,Beberapa kali dalam sebulan,Familiar,Familiar,Normal,Sangat penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Tidak
20,Suilt,Beberapa kali dalam sebulan,Biasa saja,Tidak familiar,Sangat penting,Tidak penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
15,Sangat Sulit,Beberapa kali dalam seminggu,Sangat familiar,Sangat familiar,Sangat penting,Sangat penting,Sangat penting,Ya,"Tidak akurat dalam menerjemahkan, Tidak ada dukungan untuk bahasa tertentu, Tidak mudah digunakan, Fitur-fitur yang kurang lengkap, terkadang artinya berbeda dengan makna sang penulis artinya, jd lebih baik disesuaikan dengan yang namanya slang word",Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
19,Suilt,Beberapa kali dalam seminggu,Familiar,Sangat tidak familiar,Sangat penting,Sangat penting,Sangat penting,Ya,"Tidak akurat dalam menerjemahkan, Lambat dalam melakukan penerjemahan, Tidak ada dukungan untuk bahasa tertentu, Tidak mudah digunakan, Fitur-fitur yang kurang lengkap",Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
43,Sangat Sulit,Setiap hari,Sangat tidak familiar,Sangat tidak familiar,Sangat tidak penting,Sangat tidak penting,Sangat tidak penting,Ya,"Tidak akurat dalam menerjemahkan, Lambat dalam melakukan penerjemahan, Fitur-fitur yang kurang lengkap",Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
21,Biasa saja,Jarang sekali,Familiar,Biasa saja,Penting,Penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Tidak
12,Biasa saja,Beberapa kali dalam sebulan,Sangat familiar,Sangat tidak familiar,Tidak penting,Sangat penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Tidak
23,Suilt,Jarang sekali,Familiar,Tidak familiar,Sangat penting,Sangat penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
12,Biasa saja,Beberapa kali dalam seminggu,Familiar,Biasa saja,Penting,Sangat penting,Sangat penting,Ya,"Tidak akurat dalam menerjemahkan, Fitur-fitur yang kurang lengkap",Ya,Ya,Ya,Ya,Ya,Tidak,,,,,,
20,Suilt,Beberapa kali dalam seminggu,Sangat familiar,Familiar,Sangat penting,Sangat penting,Sangat penting,Ya,Tidak akurat dalam menerjemahkan,Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
20,Suilt,Setiap hari,Familiar,Tidak familiar,Sangat penting,Sangat penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
19,Sangat Sulit,Setiap hari,Sangat tidak familiar,Biasa saja,Sangat penting,Sangat penting,Sangat penting,Ya,"Tidak akurat dalam menerjemahkan, Lambat dalam melakukan penerjemahan, Fitur-fitur yang kurang lengkap",Ya,Ya,Ya,Ya,Ya,Tidak,,,,,,
19,Biasa saja,Beberapa kali dalam seminggu,Biasa saja,Tidak familiar,Penting,Penting,Penting,Ya,"Tidak akurat dalam menerjemahkan, Lambat dalam melakukan penerjemahan, Fitur-fitur yang kurang lengkap",Ya,Ya,Ya,Ya,Ya,Tidak,,,,,,
20,Biasa saja,Jarang sekali,Familiar,Biasa saja,Normal,Penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
22,Suilt,Setiap hari,Familiar,Tidak familiar,Sangat penting,Sangat penting,Sangat penting,Ya,Tidak akurat dalam menerjemahkan,Ya,Ya,Ya,Ya,Ya,Tidak,,,,,,
0,Biasa saja,Beberapa kali dalam seminggu,Familiar,Tidak familiar,Normal,Penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
20,Suilt,Beberapa kali dalam seminggu,Familiar,Familiar,Penting,Normal,Sangat penting,Ya,"Tidak akurat dalam menerjemahkan, Tidak ada dukungan untuk bahasa tertentu",Ya,Ya,Ya,Ya,Tidak,Tidak,,,,,,
19,Biasa saja,Setiap hari,Sangat familiar,Biasa saja,Tidak penting,Penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Tidak
19,Sangat mudah,Beberapa kali dalam seminggu,Sangat familiar,Tidak familiar,Sangat penting,Sangat penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
21,Biasa saja,Setiap hari,Sangat familiar,Biasa saja,Penting,Sangat penting,Sangat penting,Tidak,,,,,,,,Tidak,Ya,Ya,Ya,Ya,Ya
20,Biasa saja,Setiap hari,Familiar,Familiar,Normal,Normal,Normal,Ya,Tidak akurat dalam menerjemahkan,Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
22,Biasa saja,Setiap hari,Sangat familiar,Sangat familiar,Sangat penting,Sangat penting,Sangat penting,Ya,"Tidak akurat dalam menerjemahkan, Lambat dalam melakukan penerjemahan",Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
27,Suilt,Beberapa kali dalam seminggu,Sangat familiar,Tidak familiar,Sangat penting,Sangat penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
20,Suilt,Beberapa kali dalam seminggu,Sangat familiar,Tidak familiar,Normal,Penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Tidak,Tidak
17,Biasa saja,Beberapa kali dalam sebulan,Sangat familiar,Tidak familiar,Sangat penting,Sangat penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
19,Suilt,Beberapa kali dalam seminggu,Familiar,Sangat tidak familiar,Penting,Sangat penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
19,Biasa saja,Jarang sekali,Familiar,Tidak familiar,Normal,Sangat penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
21,Biasa saja,Setiap hari,Sangat familiar,Familiar,Penting,Sangat penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
21,Biasa saja,Jarang sekali,Biasa saja,Familiar,Tidak penting,Penting,Penting,Ya,Tidak akurat dalam menerjemahkan,Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
21,Biasa saja,Beberapa kali dalam seminggu,Sangat familiar,Biasa saja,Normal,Sangat penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
17,Sangat Sulit,Setiap hari,Biasa saja,Biasa saja,Sangat penting,Sangat penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Tidak,Tidak
20,Sangat Sulit,Beberapa kali dalam seminggu,Sangat familiar,Tidak familiar,Sangat penting,Sangat penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
20,Mudah,Beberapa kali dalam seminggu,Sangat familiar,Familiar,Sangat tidak penting,Sangat penting,Sangat penting,Ya,"Tidak akurat dalam menerjemahkan, Lambat dalam melakukan penerjemahan, Tidak mudah digunakan, Fitur-fitur yang kurang lengkap",Tidak,Ya,Ya,Ya,Ya,Tidak,,,,,,
17,Suilt,Beberapa kali dalam sebulan,Sangat familiar,Sangat familiar,Sangat penting,Sangat penting,Penting,Ya,Tidak akurat dalam menerjemahkan,Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
20,Mudah,Beberapa kali dalam seminggu,Familiar,Tidak familiar,Normal,Penting,Sangat penting,Tidak,,,,,,,,Tidak,Ya,Ya,Ya,Ya,Tidak
20,Biasa saja,Setiap hari,Familiar,Familiar,Penting,Sangat penting,Penting,Ya,"Tidak akurat dalam menerjemahkan, Fitur-fitur yang kurang lengkap",Ya,Ya,Ya,Ya,Ya,Tidak,,,,,,
19,Biasa saja,Beberapa kali dalam seminggu,Familiar,Biasa saja,Penting,Tidak penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Tidak,Ya
19,Suilt,Beberapa kali dalam seminggu,Familiar,Biasa saja,Penting,Penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
20,Suilt,Jarang sekali,Sangat tidak familiar,Biasa saja,Sangat tidak penting,Normal,Normal,Tidak,,,,,,,,Ya,Tidak,Ya,Ya,Ya,Ya
#REF!,Mudah,Setiap hari,Sangat familiar,Tidak familiar,Penting,Sangat penting,Sangat penting,Tidak,,,,,,,,Tidak,Ya,Ya,Ya,Ya,Tidak
17,Suilt,Beberapa kali dalam seminggu,Familiar,Tidak familiar,Normal,Sangat penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
20,Biasa saja,Beberapa kali dalam seminggu,Sangat familiar,Biasa saja,Penting,Sangat penting,Sangat penting,Ya,"Tidak akurat dalam menerjemahkan, Fitur-fitur yang kurang lengkap",Ya,Ya,Ya,Ya,Ya,Tidak,,,,,,
18,Biasa saja,Beberapa kali dalam seminggu,Sangat familiar,Tidak familiar,Penting,Penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
20,Biasa saja,Beberapa kali dalam seminggu,Biasa saja,Biasa saja,Penting,Penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Tidak
23,Mudah,Jarang sekali,Familiar,Biasa saja,Tidak penting,Penting,Sangat penting,Tidak,,,,,,,,Tidak,Ya,Tidak,Ya,Ya,Tidak
20,Suilt,Beberapa kali dalam seminggu,Familiar,Biasa saja,Penting,Penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Tidak
20,Suilt,Beberapa kali dalam seminggu,Sangat familiar,Sangat familiar,Sangat penting,Sangat penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
18,Biasa saja,Beberapa kali dalam seminggu,Sangat familiar,Tidak familiar,Sangat penting,Sangat penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Tidak
20,Suilt,Beberapa kali dalam seminggu,Familiar,Familiar,Normal,Penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
27,Mudah,Beberapa kali dalam seminggu,Sangat familiar,Biasa saja,Sangat penting,Sangat penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
20,Biasa saja,Beberapa kali dalam seminggu,Familiar,Biasa saja,Normal,Normal,Normal,Tidak,,,,,,,,Tidak,Tidak,Ya,Ya,Ya,Tidak
20,Biasa saja,Beberapa kali dalam sebulan,Biasa saja,Tidak familiar,Normal,Penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
20,Biasa saja,Beberapa kali dalam seminggu,Sangat familiar,Sangat familiar,Normal,Normal,Normal,Tidak,,,,,,,,Tidak,Ya,Tidak,Ya,Tidak,Tidak
16,Suilt,Setiap hari,Familiar,Familiar,Normal,Sangat penting,Sangat penting,Ya,"Tidak akurat dalam menerjemahkan, Tidak ada dukungan untuk bahasa tertentu, Tidak mudah digunakan",Ya,Ya,Ya,Ya,Ya,Tidak,,,,,,
17,Biasa saja,Jarang sekali,Familiar,Biasa saja,Penting,Penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
21,Biasa saja,Beberapa kali dalam seminggu,Sangat familiar,Sangat tidak familiar,Penting,Sangat penting,Sangat penting,Ya,Tidak akurat dalam menerjemahkan,Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
