Usia :,Apakah anda kesulitan dalam berkomunikasi dengan orang lain yang berbeda negara?,Seberapa sering Anda menggunakan aplikasi untuk menerjemahkan bahasa?,Seberapa familiar Anda dengan bahasa inggris?,Seberapa familiar Anda dengan bahasa Jepang?,"Seberapa penting menurut Anda jika suatu aplikasi penerjemah dapat menerjemahkan bahasa hanya tiga bahasa saja (jepang, inggris, dan indonesia)?",Seberapa penting menurut anda aplikasi yang dapat menerjemahkan suatu bahasa dari suara dengan voice recognition?,Seberapa penting menurut anda aplikasi yang dapat menerjemahkan suatu bahasa dari foto?,Apakah Anda pernah merasa kesulitan saat menggunakan aplikasi penerjemah?,Faktor apa yang membuat anda merasa kesulitan saat menggunakan aplikasi penerjemah? (Bisa memilih lebih dari satu),"Apakah Anda membutuhkan aplikasi penerjemah yang dapat menerjemahkan tiga bahasa yaitu bahasa Jepang, Inggris, dan Indonesia?","Apakah Anda membutuhkan aplikasi penerjemah yang dapat menerjemahkan dalam berbagai bentuk, seperti teks tulisan, suara, percakapan langsung, dan scan foto?",Apakah Anda mengharapkan akurasi yang tinggi dalam penerjemahan bahasa pada aplikasi penerjemah?,Apakah Anda mengharapkan aplikasi penerjemah memiliki fitur yang dapat memperbaiki kesalahan dalam penerjemahan?,Apakah Anda menginginkan aplikasi penerjemah memiliki antarmuka yang mudah digunakan?,Apakah Anda bersedia membayar untuk menggunakan aplikasi penerjemah dengan fitur-fitur lengkap dan akurasi yang tinggi?,"Apakah Anda membutuhkan aplikasi penerjemah yang dapat menerjemahkan tiga bahasa yaitu bahasa Jepang, Inggris, dan Indonesia?","Apakah Anda membutuhkan aplikasi penerjemah yang dapat menerjemahkan dalam berbagai bentuk, seperti teks tulisan, suara, percakapan langsung, dan scan foto?",Apakah Anda mengharapkan akurasi yang tinggi dalam penerjemahan bahasa pada aplikasi penerjemah?,Apakah Anda mengharapkan aplikasi penerjemah memiliki fitur yang dapat memperbaiki kesalahan dalam penerjemahan?,Apakah Anda menginginkan aplikasi penerjemah memiliki antarmuka yang mudah digunakan?,Apakah Anda bersedia membayar untuk menggunakan aplikasi penerjemah dengan fitur-fitur lengkap dan akurasi yang tinggi?
19,Biasa saja,Beberapa kali dalam seminggu,Familiar,Tidak familiar,Normal,Penting,Normal,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Tidak
20,Sangat Sulit,Beberapa kali dalam sebulan,Sangat familiar,Familiar,Sangat penting,Sangat penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
20,Suilt,Beberapa kali dalam seminggu,Biasa saja,Biasa saja,Normal,Penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
21,Biasa saja,Beberapa kali dalam sebulan,Familiar,Biasa saja,Penting,Normal,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
15,Mudah,Beberapa kali dalam seminggu,Sangat familiar,Biasa saja,Normal,Sangat penting,Sangat penting,Ya,Tidak akurat dalam menerjemahkan,Ya,Ya,Ya,Ya,Ya,Tidak,,,,,,
18,Sangat Sulit,Setiap hari,Biasa saja,Biasa saja,Sangat penting,Sangat penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
20,Biasa saja,Beberapa kali dalam sebulan,Biasa saja,Biasa saja,Normal,Normal,Normal,Ya,"Lambat dalam melakukan penerjemahan, Tidak ada dukungan untuk bahasa tertentu, Tidak mudah digunakan",Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
19,Suilt,Beberapa kali dalam seminggu,Sangat familiar,Biasa saja,Penting,Penting,Normal,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Tidak
28,Suilt,Jarang sekali,Familiar,Tidak familiar,Penting,Sangat penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Tidak
25,Sangat Sulit,Belum pernah menggunakan,Biasa saja,Tidak familiar,Normal,Penting,Penting,Ya,"Tidak akurat dalam menerjemahkan, Tidak ada dukungan untuk bahasa tertentu, Tidak mudah digunakan, Fitur-fitur yang kurang lengkap",Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
22,Biasa saja,Beberapa kali dalam sebulan,Familiar,Tidak familiar,Sangat penting,Sangat penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
22,Biasa saja,Beberapa kali dalam sebulan,Familiar,Biasa saja,Sangat penting,Sangat penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
21,Biasa saja,Beberapa kali dalam sebulan,Familiar,Biasa saja,Sangat penting,Sangat penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
19,Sangat Sulit,Beberapa kali dalam seminggu,Familiar,Familiar,Sangat penting,Penting,Sangat penting,Ya,Tidak akurat dalam menerjemahkan,Ya,Ya,Ya,Ya,Ya,Tidak,,,,,,
22,Biasa saja,Beberapa kali dalam sebulan,Familiar,Biasa saja,Sangat penting,Sangat penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
21,Biasa saja,Beberapa kali dalam sebulan,Familiar,Biasa saja,Sangat penting,Sangat penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
22,Biasa saja,Beberapa kali dalam sebulan,Familiar,Biasa saja,Sangat penting,Sangat penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
19,Sangat Sulit,Beberapa kali dalam seminggu,Familiar,Familiar,Sangat penting,Sangat penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
21,Suilt,Beberapa kali dalam seminggu,Sangat familiar,Familiar,Normal,Penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
23,Suilt,Beberapa kali dalam seminggu,Familiar,Tidak familiar,Penting,Sangat penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
19,Biasa saja,Beberapa kali dalam sebulan,Sangat familiar,Familiar,Penting,Penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
24,Suilt,Beberapa kali dalam seminggu,Sangat familiar,Sangat familiar,Sangat penting,Sangat penting,Sangat penting,Ya,"Tidak akurat dalam menerjemahkan, Fitur-fitur yang kurang lengkap",Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
20,Biasa saja,Beberapa kali dalam sebulan,Familiar,Biasa saja,Sangat penting,Penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
23,Sangat Sulit,Setiap hari,Familiar,Familiar,Penting,Sangat penting,Penting,Ya,"Tidak akurat dalam menerjemahkan, Lambat dalam melakukan penerjemahan, Tidak mudah digunakan",Ya,Ya,Ya,Ya,Ya,Tidak,,,,,,
23,Sangat mudah,Jarang sekali,Sangat familiar,Tidak familiar,Sangat penting,Normal,Normal,Ya,"Tidak akurat dalam menerjemahkan, Lambat dalam melakukan penerjemahan, Fitur-fitur yang kurang lengkap",Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
20,Suilt,Beberapa kali dalam seminggu,Biasa saja,Biasa saja,Penting,Sangat penting,Penting,Ya,Terkadang tidak sesuai dengan yang diharapkan,Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
21,Suilt,Setiap hari,Familiar,Biasa saja,Penting,Sangat penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
24,Mudah,Beberapa kali dalam sebulan,Familiar,Biasa saja,Penting,Sangat penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
19,Suilt,Beberapa kali dalam seminggu,Biasa saja,Biasa saja,Sangat penting,Sangat penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
19,Biasa saja,Beberapa kali dalam seminggu,Biasa saja,Biasa saja,Penting,Sangat penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
18,Suilt,Beberapa kali dalam seminggu,Familiar,Tidak familiar,Penting,Sangat penting,Sangat penting,Ya,"Tidak akurat dalam menerjemahkan, Fitur-fitur yang kurang lengkap",Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
20,Sangat Sulit,Beberapa kali dalam sebulan,Familiar,Tidak familiar,Penting,Sangat penting,Sangat penting,Ya,"Tidak akurat dalam menerjemahkan, Tidak ada dukungan untuk bahasa tertentu",Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
21,Suilt,Beberapa kali dalam seminggu,Sangat familiar,Sangat tidak familiar,Penting,Sangat penting,Sangat penting,Ya,"Tidak akurat dalam menerjemahkan, Lambat dalam melakukan penerjemahan, Fitur-fitur yang kurang lengkap",Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
24,Suilt,Jarang sekali,Familiar,Sangat tidak familiar,Penting,Sangat penting,Sangat penting,Ya,"Tidak akurat dalam menerjemahkan, Fitur-fitur yang kurang lengkap",Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
19,Suilt,Beberapa kali dalam sebulan,Familiar,Sangat tidak familiar,Sangat penting,Sangat penting,Sangat penting,Ya,"Tidak akurat dalam menerjemahkan, Fitur-fitur yang kurang lengkap",Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
20,Suilt,Beberapa kali dalam seminggu,Familiar,Tidak familiar,Sangat penting,Sangat penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
20,Sangat Sulit,Beberapa kali dalam seminggu,Sangat familiar,Tidak familiar,Sangat penting,Sangat penting,Sangat penting,Ya,Tidak akurat dalam menerjemahkan,Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
20,Sangat Sulit,Beberapa kali dalam seminggu,Familiar,Biasa saja,Sangat penting,Penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
20,Sangat Sulit,Beberapa kali dalam seminggu,Sangat familiar,Tidak familiar,Sangat penting,Sangat penting,Sangat penting,Ya,"Tidak akurat dalam menerjemahkan, Tidak ada dukungan untuk bahasa tertentu",Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
20,Sangat Sulit,Beberapa kali dalam seminggu,Sangat familiar,Tidak familiar,Sangat penting,Sangat penting,Sangat penting,Ya,"Tidak akurat dalam menerjemahkan, Tidak ada dukungan untuk bahasa tertentu",Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
19,Biasa saja,Setiap hari,Sangat familiar,Familiar,Normal,Normal,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
22,Mudah,Jarang sekali,Biasa saja,Familiar,Normal,Penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
25,Mudah,Beberapa kali dalam sebulan,Familiar,Sangat familiar,Sangat penting,Penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
19,Biasa saja,Beberapa kali dalam seminggu,Familiar,Tidak familiar,Normal,Sangat penting,Sangat penting,Ya,Tidak akurat dalam menerjemahkan,Tidak,Ya,Ya,Ya,Ya,Ya,,,,,,
23,Sangat Sulit,Jarang sekali,Biasa saja,Biasa saja,Sangat penting,Normal,Normal,Ya,"Tidak akurat dalam menerjemahkan, Fitur-fitur yang kurang lengkap",Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
19,Biasa saja,Beberapa kali dalam seminggu,Sangat familiar,Tidak familiar,Normal,Sangat penting,Sangat penting,Ya,"Tidak akurat dalam menerjemahkan, Lambat dalam melakukan penerjemahan, Tidak ada dukungan untuk bahasa tertentu, Tidak mudah digunakan",Tidak,Ya,Ya,Ya,Ya,Ya,,,,,,
19,Suilt,Beberapa kali dalam seminggu,Familiar,Biasa saja,Penting,Penting,Sangat penting,Ya,Tidak akurat dalam menerjemahkan,Ya,Ya,Ya,Ya,Ya,Tidak,,,,,,
19,Sangat Sulit,Setiap hari,Familiar,Tidak familiar,Penting,Penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
20,Suilt,Beberapa kali dalam seminggu,Biasa saja,Biasa saja,Penting,Penting,Penting,Ya,"Tidak akurat dalam menerjemahkan, Lambat dalam melakukan penerjemahan",Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
19,Biasa saja,Beberapa kali dalam sebulan,Familiar,Tidak familiar,Normal,Normal,Normal,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
21,Suilt,Beberapa kali dalam seminggu,Familiar,Familiar,Penting,Penting,Penting,Ya,"Tidak akurat dalam menerjemahkan, Lambat dalam melakukan penerjemahan",Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
19,Sangat Sulit,Beberapa kali dalam sebulan,Tidak familiar,Tidak familiar,Penting,Penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Tidak
18,Mudah,Jarang sekali,Familiar,Sangat familiar,Normal,Penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
20,Sangat mudah,Jarang sekali,Sangat familiar,Sangat tidak familiar,Penting,Penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
23,Suilt,Setiap hari,Familiar,Familiar,Normal,Penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
23,Suilt,Setiap hari,Familiar,Familiar,Penting,Penting,Penting,Ya,Lambat dalam melakukan penerjemahan,Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
18,Biasa saja,Jarang sekali,Familiar,Biasa saja,Normal,Sangat penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
22,Suilt,Beberapa kali dalam seminggu,Familiar,Biasa saja,Penting,Penting,Penting,Ya,Lambat dalam melakukan penerjemahan,Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
22,Suilt,Setiap hari,Familiar,Familiar,Penting,Penting,Penting,Ya,Tidak akurat dalam menerjemahkan,Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
28,Biasa saja,Beberapa kali dalam seminggu,Tidak familiar,Tidak familiar,Penting,Penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
18,Sangat mudah,Beberapa kali dalam seminggu,Familiar,Sangat familiar,Normal,Penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
20,Sangat mudah,Beberapa kali dalam sebulan,Sangat familiar,Sangat tidak familiar,Penting,Penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Tidak
19,Suilt,Beberapa kali dalam seminggu,Familiar,Familiar,Sangat penting,Sangat penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
18,Suilt,Beberapa kali dalam seminggu,Familiar,Familiar,Penting,Sangat penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
18,Mudah,Jarang sekali,Sangat familiar,Familiar,Sangat penting,Sangat penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Tidak
20,Sangat mudah,Beberapa kali dalam sebulan,Sangat familiar,Sangat tidak familiar,Penting,Penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Tidak
27,Suilt,Jarang sekali,Biasa saja,Tidak familiar,Normal,Tidak penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
18,Suilt,Beberapa kali dalam seminggu,Familiar,Tidak familiar,Sangat penting,Penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
23,Sangat Sulit,Beberapa kali dalam sebulan,Familiar,Familiar,Normal,Penting,Normal,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Tidak,Tidak
15,Biasa saja,Beberapa kali dalam sebulan,Sangat familiar,Sangat familiar,Normal,Penting,Sangat penting,Tidak,,,,,,,,Tidak,Ya,Ya,Ya,Ya,Tidak
25,Sangat Sulit,Beberapa kali dalam sebulan,Biasa saja,Biasa saja,Penting,Normal,Normal,Ya,"Tidak akurat dalam menerjemahkan, Lambat dalam melakukan penerjemahan",Ya,Ya,Tidak,Ya,Tidak,Tidak,,,,,,
22,Suilt,Setiap hari,Familiar,Biasa saja,Penting,Penting,Penting,Ya,"Tidak mudah digunakan, Fitur-fitur yang kurang lengkap",Ya,Ya,Ya,Ya,Tidak,Tidak,,,,,,
21,Sangat Sulit,Beberapa kali dalam sebulan,Biasa saja,Familiar,Sangat penting,Penting,Normal,Ya,"Lambat dalam melakukan penerjemahan, Tidak ada dukungan untuk bahasa tertentu",Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
20,Sangat Sulit,Setiap hari,Sangat familiar,Sangat tidak familiar,Sangat penting,Sangat penting,Sangat penting,Ya,"Lambat dalam melakukan penerjemahan, Tidak mudah digunakan",Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
18,Sangat Sulit,Beberapa kali dalam seminggu,Familiar,Tidak familiar,Penting,Penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
15,Biasa saja,Beberapa kali dalam sebulan,Sangat familiar,Sangat familiar,Normal,Penting,Sangat penting,Tidak,,,,,,,,Tidak,Ya,Ya,Ya,Ya,Tidak
18,Suilt,Jarang sekali,Familiar,Biasa saja,Penting,Sangat penting,Sangat penting,Ya,Fitur-fitur yang kurang lengkap,Ya,Ya,Ya,Ya,Ya,Tidak,,,,,,
24,Mudah,Beberapa kali dalam seminggu,Biasa saja,Biasa saja,Normal,Penting,Penting,Ya,"Tidak ada dukungan untuk bahasa tertentu, Tidak mudah digunakan",Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
25,Mudah,Jarang sekali,Familiar,Biasa saja,Normal,Penting,Normal,Ya,"Tidak ada dukungan untuk bahasa tertentu, Tidak mudah digunakan",Ya,Ya,Ya,Ya,Tidak,Ya,,,,,,
30,Suilt,Beberapa kali dalam sebulan,Tidak familiar,Biasa saja,Normal,Tidak penting,Penting,Ya,"Lambat dalam melakukan penerjemahan, Tidak ada dukungan untuk bahasa tertentu",Ya,Tidak,Ya,Ya,Ya,Ya,,,,,,
24,Suilt,Beberapa kali dalam seminggu,Biasa saja,Tidak familiar,Penting,Sangat penting,Penting,Ya,"Lambat dalam melakukan penerjemahan, Tidak ada dukungan untuk bahasa tertentu, Tidak mudah digunakan",Ya,Ya,Tidak,Ya,Ya,Ya,,,,,,
26,Suilt,Beberapa kali dalam seminggu,Biasa saja,Biasa saja,Tidak penting,Penting,Penting,Ya,"Tidak akurat dalam menerjemahkan, Tidak ada dukungan untuk bahasa tertentu, Fitur-fitur yang kurang lengkap",Ya,Tidak,Ya,Ya,Ya,Ya,,,,,,
27,Mudah,Setiap hari,Biasa saja,Familiar,Normal,Penting,Sangat penting,Ya,"Tidak mudah digunakan, Fitur-fitur yang kurang lengkap",Ya,Tidak,Ya,Tidak,Ya,Ya,,,,,,
33,Suilt,Beberapa kali dalam sebulan,Tidak familiar,Tidak familiar,Normal,Penting,Normal,Ya,"Lambat dalam melakukan penerjemahan, Tidak ada dukungan untuk bahasa tertentu",Tidak,Ya,Tidak,Ya,Ya,Ya,,,,,,
29,Suilt,Beberapa kali dalam seminggu,Biasa saja,Biasa saja,Penting,Penting,Sangat penting,Ya,"Lambat dalam melakukan penerjemahan, Tidak mudah digunakan",Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
25,Mudah,Beberapa kali dalam sebulan,Familiar,Familiar,Penting,Penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
25,Suilt,Beberapa kali dalam sebulan,Biasa saja,Sangat tidak familiar,Sangat tidak penting,Normal,Normal,Ya,"Tidak ada dukungan untuk bahasa tertentu, Tidak mudah digunakan",Ya,Ya,Tidak,Ya,Ya,Tidak,,,,,,
35,Mudah,Beberapa kali dalam sebulan,Biasa saja,Familiar,Penting,Penting,Sangat penting,Ya,"Tidak ada dukungan untuk bahasa tertentu, Tidak mudah digunakan",Ya,Ya,Tidak,Tidak,Ya,Ya,,,,,,
25,Suilt,Setiap hari,Sangat familiar,Familiar,Penting,Sangat penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
29,Mudah,Setiap hari,Familiar,Familiar,Sangat penting,Sangat penting,Penting,Ya,"Tidak akurat dalam menerjemahkan, Lambat dalam melakukan penerjemahan",Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
22,Sangat mudah,Beberapa kali dalam seminggu,Sangat familiar,Familiar,Sangat penting,Sangat penting,Sangat penting,Ya,Fitur-fitur yang kurang lengkap,Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
25,Mudah,Setiap hari,Sangat familiar,Sangat familiar,Sangat penting,Sangat penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
24,Biasa saja,Beberapa kali dalam seminggu,Sangat familiar,Sangat familiar,Penting,Sangat penting,Sangat penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
23,Suilt,Beberapa kali dalam seminggu,Familiar,Familiar,Penting,Penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Tidak
22,Biasa saja,Beberapa kali dalam sebulan,Sangat familiar,Sangat familiar,Sangat penting,Sangat penting,Sangat penting,Ya,Tidak akurat dalam menerjemahkan,Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
21,Biasa saja,Beberapa kali dalam sebulan,Sangat familiar,Biasa saja,Normal,Penting,Penting,Ya,"Tidak akurat dalam menerjemahkan, Tidak ada dukungan untuk bahasa tertentu, Fitur-fitur yang kurang lengkap",Ya,Ya,Ya,Ya,Tidak,Ya,,,,,,
19,Mudah,Jarang sekali,Sangat familiar,Familiar,Penting,Normal,Normal,Tidak,,,,,,,,Ya,Tidak,Ya,Ya,Tidak,Ya
25,Biasa saja,Jarang sekali,Biasa saja,Tidak familiar,Penting,Penting,Normal,Ya,"Tidak akurat dalam menerjemahkan, Tidak mudah digunakan, Fitur-fitur yang kurang lengkap",Ya,Ya,Ya,Ya,Ya,Tidak,,,,,,
21,Suilt,Beberapa kali dalam seminggu,Biasa saja,Biasa saja,Penting,Penting,Penting,Ya,"Tidak akurat dalam menerjemahkan, Tidak ada dukungan untuk bahasa tertentu, Tidak mudah digunakan",Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
20,Suilt,Jarang sekali,Biasa saja,Tidak familiar,Normal,Normal,Normal,Ya,"Tidak akurat dalam menerjemahkan, Tidak mudah digunakan",Ya,Tidak,Ya,Ya,Tidak,Tidak,,,,,,
15,Biasa saja,Beberapa kali dalam seminggu,Familiar,Tidak familiar,Normal,Normal,Normal,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Tidak,Tidak
24,Biasa saja,Beberapa kali dalam sebulan,Biasa saja,Biasa saja,Normal,Normal,Normal,Ya,"Tidak akurat dalam menerjemahkan, Tidak mudah digunakan",Ya,Ya,Ya,Ya,Ya,Tidak,,,,,,
19,Suilt,Beberapa kali dalam seminggu,Biasa saja,Sangat tidak familiar,Penting,Sangat penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
19,Biasa saja,Beberapa kali dalam sebulan,Sangat familiar,Biasa saja,Penting,Sangat penting,Sangat penting,Ya,"Tidak akurat dalam menerjemahkan, Tidak ada dukungan untuk bahasa tertentu, Tidak mudah digunakan",Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
50,Mudah,Jarang sekali,Sangat familiar,Tidak familiar,Normal,Penting,Penting,Ya,"Tidak akurat dalam menerjemahkan, Fitur-fitur yang kurang lengkap",Ya,Ya,Ya,Ya,Tidak,Ya,,,,,,
21,Biasa saja,Jarang sekali,Familiar,Biasa saja,Normal,Penting,Penting,Ya,"Tidak akurat dalam menerjemahkan, Fitur-fitur yang kurang lengkap",Ya,Ya,Ya,Ya,Ya,Ya,,,,,,
30,Mudah,Beberapa kali dalam seminggu,Familiar,Familiar,Penting,Penting,Penting,Tidak,,,,,,,,Ya,Ya,Ya,Ya,Ya,Ya
